id;customer_name;customer_phone;sede;notes;items;total;status;created_at;updated_at
4d952e7e-c626-4953-a6cd-bcc38d1a1140;Sebsd;319411620;quirinal;;"[{""name"":""Pastel de Pollo"",""price"":5500,""quantity"":2},{""name"":""Empanada Colombiana"",""price"":4000,""quantity"":2}]";19000;pending;2026-03-08 19:50:53.19206+00;2026-03-08 19:50:53.19206+00
0750ebd6-5150-4ac4-8831-f6d5930b63d0;miguel;3194116820;quirinal;porva celebro un cumpleaños;"[{""name"":""Pastel de Pollo"",""price"":5500,""quantity"":7},{""name"":""Jugo Natural de Frutas"",""price"":5000,""quantity"":4}]";58500;pending;2026-03-08 19:58:10.295573+00;2026-03-08 19:58:10.295573+00
2ca00efd-e35d-46fb-9152-3ecc6541220e;Esteban rttu;3214567895;envio;ENVÍO: Cra 344 s#'445 Int 3 Sprint | Cumplo años llegue caliente;"[{""name"":""Pastel de Carne"",""price"":5500,""quantity"":7},{""name"":""Jugo Natural de Frutas"",""price"":5000,""quantity"":7}]";73500;pending;2026-03-10 17:48:45.868683+00;2026-03-10 17:48:45.868683+00
6337d56b-a400-4b32-9e0b-d8023c751bcd;Miguel;35464648;sprint;RECOGE: sprint a las 11:11 | Esto de cumple;"[{""name"":""Chocolate con Queso"",""price"":4500,""quantity"":3},{""name"":""Empanada Colombiana"",""price"":4000,""quantity"":5}]";33500;cancelled;2026-03-11 16:13:01.667045+00;2026-03-13 19:14:23.892631+00
4d5fe992-c631-4379-be6d-297bcded9620;Sebastián masmela;3194116820;envio;ENVÍO: Wtwusuakb Inte 4 El nogal | Llegué rápido;"[{""name"":""Pastel de Carne"",""price"":5500,""quantity"":3},{""name"":""Café Premium Colombiano"",""price"":4500,""quantity"":2}]";25500;confirmed;2026-03-11 15:45:12.153955+00;2026-03-13 19:15:12.586396+00
aed61803-7b24-44b0-993b-3330b743fd1a;Fernando;1234567899;quirinal;RECOGE: quirinal a las 18:24 | 27/03/2026 entrega;"[{""name"":""Agua de Panela con Limón"",""price"":3000,""quantity"":3},{""name"":""Almojábana"",""price"":3500,""quantity"":3}]";19500;pending;2026-03-13 19:27:25.759786+00;2026-03-13 19:27:25.759786+00
18ca3af9-c332-4eb8-a4af-6b6b98db352e;Pedro;3214567895;sprint;RECOGE: sprint a las 16:28 | Mañana;"[{""name"":""Pastel de Pollo"",""price"":5500,""quantity"":6}]";33000;pending;2026-03-13 19:28:09.164397+00;2026-03-13 19:28:09.164397+00
ac19374e-4230-467e-a1d5-b7796c25e475;diego q;5235435;sprint;FECHA PEDIDO: 14/03/2026 16:24 | FECHA DESEADA: 2026-03-17 | EMPRESA: delia | RECOGE: sprint a las 20:28 | estoy cumpleaños;"[{""name"":""Pastel hawaiano"",""price"":5000,""quantity"":6}]";30000;pending;2026-03-14 21:24:28.124001+00;2026-03-14 21:24:28.124001+00
11102994-bfde-4a3f-9a6f-3cafc311b8ac;juan masmela;319416820;sprint;FECHA PEDIDO: 15/03/2026 16:25 | FECHA DESEADA: 2026-03-16 | EMPRESA: dexio | RECOGE: sprint a las 20:29;"[{""name"":""Pastel hawaiano"",""price"":38000,""quantity"":2},{""name"":""Pastel vegetariano"",""price"":5000,""quantity"":1}]";81000;pending;2026-03-15 21:25:14.455105+00;2026-03-15 21:25:14.455105+00
5376af6e-257a-4369-abf9-32d2ced342df;prueba sin simbolos;3194116820;envio;FECHA PEDIDO: 16/03/2026 04:29 | FECHA DESEADA: 2026-03-17 | EMPRESA: 23423423234 | ENVÍO: calle 234 23423 int 4 apot 3434 nose el barrio | tecto , aeu llegue caliente;"[{""name"":""Pastel de pollo con champiñones"",""price"":5000,""quantity"":4},{""name"":""Pie de arequipe"",""price"":6000,""quantity"":9},{""name"":""Gaseosas"",""price"":3500,""quantity"":3}]";84500;pending;2026-03-16 09:29:38.091199+00;2026-03-16 09:29:38.091199+00
f7af1597-ca34-42cf-9c20-4beb266c2652;pilar;12323423234234;envio;FECHA PEDIDO: 18/03/2026 13:09 | FECHA DESEADA: 2026-03-19 | EMPRESA: empresa | ENVÍO: Carrera 50 #134-2 4 int 3 apo 306 spribt | estoy cumpleaños;"[{""name"":""Pie de arequipe"",""price"":6000,""quantity"":3},{""name"":""Pastel de pollo"",""price"":5000,""quantity"":1}]";23000;preparing;2026-03-18 18:09:51.695673+00;2026-03-18 18:12:18.131914+00
